game.cloneof	game.romof	game.name	game.year	game.genre	game.coinslots	game.control.buttons	game.control.count	game.controller	game.control.type	monitor.freq	monitor.type	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical
2020bba		2020bb	2020 Super Baseball (set 2)	1991	Sports / Baseball	2	4	2	4	joy8way	59.185606	R	H			320	224	
2020bbh		2020bb	2020 Super Baseball (set 3)	1991	Sports / Baseball	2	4	2	4	joy8way	59.185606	R	H			320	224	
20pacgal			Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	2000	MultiGame / Compilation	2	1	2	1	joy8way	60	R	V			288	224	
20pacgala		20pacgal	Ms. Pac-Man/Galaga - 20 Year Reunion (V1.01)	2000				2	1		60	R	V			288	224	
20pacgalr0			Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)	2000		2	1	2		joy8way	60.000000	R	V			288	224	
20pacgalr1	20pacgal		Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)	2000	MultiGame / Compilation	2	1	2		joy8way	60.000000	R	V			288	224	
20pacgalr2	20pacgal		Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)	2000	MultiGame / Compilation	2	1	2		joy8way	60.000000	R	V			288	224	
20pacgalr3			Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)	2000		2	1	2		joy8way	60.000000	R	V			288	224	
20pacgalr4	20pacgal		Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)	2000	MultiGame / Compilation	2	1	2		joy8way	60.000000	R	V			288	224	
25pacman			Pac-Man - 25th Anniversary Edition (Rev 2.00)	2005		2	1	2		joy8way	60.000000	R	V			288	224	
280zzzap			280-ZZZAP	1976	Driving / 1st Person	1	2	1	2	pedal	59.541985	R	H			260	224	
2mindril			Two Minute Drill (Ver 2.93A 1994/02/16)	1993	Electromechanical / Misc.	1	4	1	4	dial	60	R	H			320	224	
39in1			39 in 1 MAME bootleg	2004	MultiGame / Compilation	3	3	2	3	joy8way	60	R	V			296	480	
3bagflnz	3bagflvt		3 Bags Full (3VXFC5345, New Zealand)	1996	Slot Machine / Video Slot	1	6	1		joy8way	60	R	H			304	216	
3bagflvt			3 Bags Full - 5VXFC790 (Victorian)	1994		1	6	1		joy8way	60.000000	R	H			304	216	
3countb		neogeo	3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	1993	Sports / Wrestling	2	4	2	4	joy8way	59.185606	R	H			320	224	
3countba												R	H	4	3	320	224	
3ds			Three Ds - Three Dealers Casino House	1985	Not Classified	1	7	2	7	joy8way	60	R	H			256	224	
3in1semi			New HyperMan (3-in-1 with Cookie & Bibi & HyperMan)	1998	MultiGame / Compilation	2	3	2	3	joy8way	57.5	R	H			256	224	
3kokushi			Sankokushi (Japan)	1996	Puzzle / Match	2	2	2	2	joy8way	60	R	H			320	240	
3stooges			The Three Stooges In Brides Is Brides (set 1)	1984	Shooter / Field	2	1	3	1	joy8way	61.419025	R	H			256	240	
3super8			3 Super 8 (Italy)	1993?	Casino / Cards	1	12	1		joy8way	60	R	H			512	256	
3wonders			Three Wonders (World 910520)	1991	MultiGame / Compilation	2	3	2	3	joy8way	59.61	R	H			384	224	
3wondersb	3wonders		Three Wonders (bootleg)	1991	MultiGame / Compilation			2				R	H	4	3	384	224	
3wondersh		3wonders	Three Wonders (hack)	1991	MultiGame / Compilation	2	3	2	3	joy8way	59.61	R	H			384	224	
3wondersr1	3wonders		Three Wonders (World 910513)	1991	MultiGame / Compilation			2				R	H	4	3	384	224	
3wondersu		3wonders	Three Wonders (USA 910520)	1991	MultiGame / Compilation	2	3	2	3	joy8way	59.61	R	H			384	224	
3wonderu	3wonders		Three Wonders (US 910520)	1991	Multiplay			2			60	R	H	4	3	384	224	
40love			Forty-Love (World)	1984	Sports / Tennis	2	4	2	4	joy4way	60	R	H			256	224	
47pie2			Idol Janshi Suchie-Pai II (v1.1)	1994	Tabletop / Mahjong	1	5	1		joy8way	60	R	H			320	224	
47pie2o		47pie2	Idol Janshi Suchie-Pai II (v1.0)	1994	Tabletop / Mahjong	1	5	1		joy8way	60	R	H			320	224	
48in1		39in1	48 in 1 MAME bootleg (set 1, ver 3.09)	2004	MultiGame / Compilation	3	3	2	3	joy8way	60	R	V			296	480	
48in1a		39in1	48 in 1 MAME bootleg (set 3, ver 3.02)	2004	MultiGame / Compilation	3	3	2	3	joy8way	60	R	V			296	480	
4dwarrio			4-D Warriors (315-5162)	1985	Shooter / Flying Horizontal	2	2	2	2	joy8way	60.096154	R	H			256	224	
4enraya			4 En Raya (set 1)	1990	Puzzle / Match	2	2	2	2	joy2way	60	R	H			256	224	
4enrayaa	4enraya		4 En Raya (set 2)	1990	Puzzle / Match			2				R	H	4	3	256	224	
4in1			4 Fun in 1	1981	MultiGame / Compilation	1	1	2	1	joy8way	60.606061	R	V			256	224	
4in1boot			Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	2002	MultiGame / Compilation	3	3	2	3	joy8way	57.5	R	H			256	224	
4psimasy			Mahjong 4P Simasyo (Japan)	1994	Tabletop / Mahjong	2	2	2		joy4way	60	R	H			640	240	
4roses			Four Roses (encrypted, set 1)	1999	Casino / Misc.	2	2	1		joy8way	60	R	H			384	232	
4rosesa		4roses	Four Roses (encrypted, set 2)	1999	Casino / Misc.	2	2	1		joy8way	60	R	H			384	232	
5			005	1981				2	1		59.998138	R	V			256	224	
500gp			500 GP (US, 5GP3 Ver. C)	1998	Driving / Motorbike	1	3	2	3	vjoy2way	59.8824	R	H			640	480	
5acespkr			5-Aces Poker	198?		1	3	1>		joy8way	60.000000	R	H			480	240	
5clown			Five Clown (English, set 1)	1993	Casino / Cards	1	4	1		joy8way	60	R	H			256	256	
5clowna		5clown	Five Clown (English, set 2)	1993	Casino / Cards	1	4	1		joy8way	60	R	H			256	256	
5clownsp		5clown	Five Clown (Spanish hack)	1993	Casino / Cards	1	4	1		joy8way	60	R	H			256	256	
600		turtles	600	1981	Maze / Collect	2	1	2	1	joy4way	60.606061	R	V			768	224	
64streej	64street		64th. Street - A Detective Story (Japan)	1991	Fighter / 2.5D			2			60	R	H	4	3	256	224	
64street			64th. Street - A Detective Story (World)	1991	Fighter / 2.5D	2	2	2	2	joy8way	60	R	H			256	224	
64streetj		64street	64th. Street - A Detective Story (Japan, set 1)	1991	Fighter / 2.5D	2	2	2	2	joy8way	60	R	H			256	224	
64streetja	64street		64th. Street - A Detective Story (Japan, set 2)	1991	Fighter / 2.5D			2				R	H	4	3	256	224	
720			720 Degrees (rev 4)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
720g		720	720 Degrees (German, rev 2)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
720gr1		720	720 Degrees (German, rev 1)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
720r1		720	720 Degrees (rev 1)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
720r2		720	720 Degrees (rev 2)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
720r3		720	720 Degrees (rev 3)	1986	Sports / Skateboarding	3	2	1	2	stick	60.096154	R	H			512	384	
7jigen			7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)	1990	Tabletop / Mahjong	1	3	2		joy8way	60	R	H			508	240	
7mezzo			7 e Mezzo	198?	Tabletop / Cards	2	7	1	7	dial	60	R	H			256	232	
7ordi			7 Ordi (Korea)	2002	Casino / Cards	1	6	1	6	joy8way	60	R	H			320	240	
7toitsu		mgakuen	Chi-Toitsu	1988	Tabletop / Mahjong	1	9	2		trackball	60	R	H			384	240	
800fath		mariner	800 Fathoms	1981	Shooter / Misc. Horizontal	2	2	2	2	joy8way	60.606061	R	V			256	224	
86lions			86 Lions	1985	Slot Machine / Video Slot	4	6	1		joy8way	60	R	H			304	216	
88games			'88 Games	1988	Sports / Track &amp; Field	2	3	4	3	joy8way	60	R	H			304	224	
8ball			Video Eight Ball	1982	Sports / Pool	2	1	2	1	joy8way	60	R	V			240	248	
8ball1		8ball	Video Eight Ball (Rev.1)	1982	Sports / Pool	2	1	2	1	joy8way	60	R	V			240	248	
8ballact			Eight Ball Action (DK conversion)	1984	Sports / Pool	1	1	2	1	joy8way	60.606061	R	V			256	224	
8ballact2		8ballact	Eight Ball Action (DKJr conversion)	1984	Sports / Pool	1	1	2	1	joy8way	60.606061	R	V			256	224	
8ballat2	8ballact		Eight Ball Action (DKJr conversion)	1984	Sports / Pool			2			60	R	V	3	4	256	224	
8bpm		8ballact	Eight Ball Action (Pac-Man conversion)	1985	Sports / Pool	2	2	2	2	joy4way	60.606061	R	V			256	224	
98best44			Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07)	1998	Misc. / Print Club	2	4	1	4	joy8way	59.185606	R	H			320	224	
99lstwar	repulse	sonofphx	'99: The Last War (set 1)	1985	Shooter / Gallery	2	2	2	2	joy8way	60	R	V			288	224	
99lstwara	repulse	sonofphx	'99: The Last War (set 2)	1985	Shooter / Gallery	2	2	2	2	joy8way	60	R	V			288	224	
99lstwark	repulse	sonofphx	'99: The Last War (Kyugo)	1985	Shooter / Gallery	2	2	2	2	joy8way	60	R	V			288	224	
99lstwra	sonofphx		'99: The Last War (alternate)	1985	Shooter / Gallery			2			60	R	V	3	4	288	224	
9ballsh2	9ballsht		9-Ball Shootout (set 2)	1993	Sports / Pool			2			60	R	H	4	3	320	240	
9ballsh3	9ballsht		9-Ball Shootout (set 3)	1993	Sports / Pool			2			60	R	H	4	3	320	240	
9ballsht			9-Ball Shootout (set 1)	1993	Sports / Pool	2	3	2	3	joy8way	60.012477	R	H			320	240	
9ballsht2		9ballsht	9-Ball Shootout (set 2)	1993	Sports / Pool	2	3	2	3	joy8way	60.012477	R	H			320	240	
9ballsht3		9ballsht	9-Ball Shootout (set 3)	1993	Sports / Pool	2	3	2	3	joy8way	60.012477	R	H			320	240	
9ballshtc		9ballsht	9-Ball Shootout Championship	1993	Sports / Pool	2	3	2	3	joy8way	60.012477	R	H			320	240	
a51mxr3k		area51mx	Area 51 / Maximum Force Duo (R3000, 2/10/98)	1998	Shooter / Gun	4	1	2	1	lightgun	59.922743	R	H			360	240	
a51site4			Area 51: Site 4 (HD Rev 2.01, September 7, 1998)	1998	Shooter / Gun	4	9	4	9	joy8way	60	R	H			640	240	
aafb			All American Football (rev E)	1989	Sports / Football	2	1	4	1	stick	60	R	V			320	240	
aafbb		aafb	All American Football (rev B)	1989	Sports / Football	2	1	4	1	stick	60	R	V			320	240	
aafbc		aafb	All American Football (rev C)	1989	Sports / Football	2	1	4	1	stick	60	R	V			320	240	
aafbd2p		aafb	All American Football (rev D, 2 Players)	1989	Sports / Football	2	1	2	1	stick	60	R	V			320	240	
abacus			Abacus (Ver 1.0)	2001	Casino / Misc.	1	8	1		joy8way	60.000000	R	H			512	256	
abaseb			Atari Baseball (set 1)	1979	Sports / Baseball	2	1	2	1	trackball	60	R	H			304	240	
abaseb2		abaseb	Atari Baseball (set 2)	1979	Sports / Baseball	2	1	2	1	trackball	60	R	H			304	240	
abattle		astrof	Astro Battle (set 1)	1979	Shooter / Gallery	1	1	2	1	joy2way	56.308461	R	V			256	256	
abattle2		astrof	Astro Battle (set 2)	1979	Shooter / Gallery	1	1	2	1	joy2way	56.308461	R	V			256	256	
abcop			A.B. Cop (World) (FD1094 317-0169b)	1990	Driving / Motorbike	2	1	1	1	pedal	59.637405	R	H			320	224	
abcopd	abcop		A.B. Cop (World) (bootleg of FD1094 317-0169b set)	1990	Driving / Motorbike			1				R	H	4	3	320	224	
abcopj	abcop		A.B. Cop (Japan) (FD1094 317-0169b)	1990	Driving / Motorbike			1				R	H	4	3	320	224	
abcopjd	abcop		A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)	1990	Driving / Motorbike			1				R	H	4	3	320	224	
abnudge			Animal Bonus Nudge (Version 2.1 Dual)	2003	Slot Machine / Video Slot	3	12	1	12	joy8way	60	R	H			512	288	
abnudgeb		abnudge	Animal Bonus Nudge (Version 2.0, set 1)	2003	Slot Machine / Video Slot	3	12	1	12	joy8way	60	R	H			512	288	
abnudged		abnudge	Animal Bonus Nudge (Version 2.0, set 2)	2003	Slot Machine / Video Slot	3	12	1	12	joy8way	60	R	H			512	288	
abnudgeo		abnudge	Animal Bonus Nudge (Version 1.7)	2003	Slot Machine / Video Slot	3	12	1	12	joy8way	60	R	H			512	288	
abscam		puckman	Abscam	1981	Maze / Collect	2	1	2	1	joy4way	60.606061	R	V			288	224	
abunai			Abunai Houkago - Mou Matenai (Japan 890325)	1989	Tabletop / Hanafuda	1	2	2		joy4way	60	R	H			512	240	
aburner		aburner2	After Burner	1987	Shooter / Flying (chase view)	2	2	1	2	stick	59.637405	R	H			320	224	
aburner2			After Burner II	1987	Shooter / Flying (chase view)	2	2	1	2	stick	59.637405	R	H			320	224	
aburner2g	aburner2		After Burner II (German)	1987	Shooter / Flying (chase view)			1				R	H	4	3	320	224	
ace			Ace	1976	Shooter / Field	1	1	2	1	joy8way	60	R	H			224	240	
aceattac			Ace Attacker (FD1094 317-0059)	1988	Sports / Volleyball	2	12	4	12	trackball	60.054389	R	H			320	224	
aceattaca		aceattac	Ace Attacker (Japan, System 16A, FD1094 317-0060)	1988	Sports / Volleyball	2	12	4	12	trackball	60	R	V			320	224	
acedrvrw			Ace Driver: Racing Evolution (Rev. AD2, World)	1994	Driving / Race 1st Person	2	6	2	1	pedal	60	R	H			640	480	
acefruit			Silhouette	1982?	Slot Machine / Video Slot	4	10	1	10	vjoy2way	60	R	V			512	256	
acitya		bwcasino	Atlantic City Action	1983	Casino / Cards	1	6	1	6	joy4way	60.606061	R	V			288	224	
acombat		astrof	Astro Combat (newer, CB)	1979	Shooter / Gallery	1	1	2	1	joy2way	56.308461	R	V			256	256	
acombato		astrof	Astro Combat (older, PZ)	1979	Shooter / Gallery	1	1	2	1	joy2way	56.308461	R	V			256	256	
acommand			Alien Command	1994	Electromechanical / Misc.	2	1	2	1	joy8way	60	R	H			256	224	
acpsx			Acclaim PSX	1995		4	3	4		joy8way	60.000000	R	H			640	480	
acrobatm			Acrobat Mission	1991	Shooter / Flying Vertical	2	3	2	3	joy8way	56	R	V			256	224	
act2000			Action 2000 (Version 3.5E Dual)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000b1		act2000	Action 2000 (Version 3.5R, set 2)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
act2000bx		act2000	Action 2000 (Version 3.30XT, set 2)	1999	Casino / Multiplay	3	12	1	12	joy8way	60	R	H			512	288	
