game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
avefenixl	Ave Fenix (Laguna, Spanish bootleg of Phoenix)	bootleg (Laguna)	1980	Shooter / Gallery		phoenix	phoenix			2				V	3	4	256	208	R	
avefenixrf	Ave Fenix (Recreativos Franco, Spanish bootleg of Phoenix)	bootleg (Recreativos Franco S.A.)	1980	Shooter / Gallery		phoenix	phoenix			2				V	3	4	256	208	R	
avenger2	Avengers (US set 2)		1987	Fighter / Vertical			avengers			2			60	V	3	4	256	240	R	
avengers	Avengers (US set 1)	Capcom	1987	Fighter / Vertical				2	2	2	joy8way		60	V			256	240	R	
avengers2	Avengers (US set 2)	Capcom	1987	Fighter / Vertical	avengers	avengers		2	2	2	joy8way		60	V			256	240	R	
avengrgs	Avengers In Galactic Storm (US/Europe 1.0)	Data East Corporation	1995	Fighter / Versus				2	4	2	joy8way		58	H			320	240	R	
avengrgsj	Avengers In Galactic Storm (Japan 1.2)	Data East Corporation	1995	Fighter / Versus	avengrgs	avengrgs		2	4	2	joy8way		58	H			320	240	R	
avsp	Alien vs. Predator (Euro 940520)	Capcom	1994	Fighter / 2.5D				3	3	3	joy8way		59.629403	H			384	224	R	
avspa	Alien vs. Predator (Asia 940520)	Capcom	1994	Fighter / 2.5D	avsp	avsp		3	3	3	joy8way		59.629403	H			384	224	R	
avspd	Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg)	bootleg	1994	Fighter / 2.5D	avsp	avsp		3	3	3	joy8way		59.629403	H			384	224	R	
avsph	Alien vs. Predator (Hispanic 940520)	Capcom	1994	Fighter / 2.5D	avsp	avsp		3	3	3	joy8way		59.629403	H			384	224	R	
avspirit	Avenging Spirit	Jaleco	1991	Platform / Fighter Scrolling				2	2	2	joy8way		60	H			256	224	R	
avspj	Alien vs. Predator (Japan 940520)	Capcom	1994	Fighter / 2.5D	avsp	avsp		3	3	3	joy8way		59.629403	H			384	224	R	
avspu	Alien vs. Predator (USA 940520)	Capcom	1994	Fighter / 2.5D	avsp	avsp		3	3	3	joy8way		59.629403	H			384	224	R	
avtbingo	Arrow Bingo	Advanced Video Technology	1985					2	1	1>	trackball		60.000000	H			256	256	R	
avtnfl	NFL (ver 109)	Advanced Video Technology	1989					2	1	1>	trackball		60.000000	H			256	256	R	
avtsym14	Symbols (ver 1.4)	Advanced Video Technology	1985					2	1	1>	trackball		60.000000	H			256	256	R	
avtsym25	Symbols (ver 2.5)	Advanced Video Technology	1985			avtsym14		2	1	1>	trackball		60.000000	H			256	256	R	
awbios	Atomiswave Bios	Sammy	2001					4	6	4	joy8way		60.000000	H			640	480	R	
aztarac	Aztarac	Centuri	1983	Shooter / Field				1	2	1	dial		40	H	4	3			V	
azumanga	Azumanga Daioh Puzzle Bobble (GDL-0018)	MOSS (Taito license)	2002	Puzzle / Toss	naomigd	naomigd		2	6	2	joy8way		60	H			640	480	R	
azurian	Azurian Attack	Rait Electronics Ltd	1982	Shooter / Field				1	1	2	joy8way		60.606061	V			768	224	R	
b2b	Bang Bang Busters (2010 NCI release)	Visco	2000	Platform / Run Jump		neogeo				2				H	4	3	320	224	R	
babydad	Baby Dado	Recreativos Franco	1987	Casino / Misc.	videopkr	videopkr		1	8	1	joy8way		60	H			416	208	R	
babypkr	Baby Poker	Recreativos Franco	1987	Casino / Cards	videopkr	videopkr		1	8	1	joy8way		60	H			416	208	R	
backfire	Backfire! (Japan, set 1)	Data East Corporation	1995	Driving / Race				2	6	2	paddle		60	H			320	240	R	
backfirea	Backfire! (Japan, set 2)	Data East Corporation	1995	Driving / Race	backfire	backfire		2	6	2	paddle		60	H			320	240	R	
backfirt	Back Fire (Tecmo, bootleg)	Tecmo	1988	Shooter / Flying Horizontal				2	2	2	joy8way		60	H			256	224	R	
backgamn	Backgammon	ADP	1990	Tabletop / Misc.				6	1	1	lightgun		60	H			640	480	R	
baddudes	Bad Dudes vs. Dragonninja (US)	Data East USA	1988	Platform / Fighter Scrolling				2	5	2	joy8way		57.41	H			256	240	R	
badlands	Bad Lands	Atari Games	1989	Driving / Race Track				3	2	2	dial		59.922743	H			336	240	R	
badlandsb	Bad Lands (bootleg)	bootleg (Playmark)	1989	Driving / Race Track	badlands	badlands		3	2	2	dial		59.922743	H			336	240	R	
bagman	Bagman	Valadon Automation	1982	Platform / Run Jump				4	1	2	joy8way		60	V			256	224	R	
bagmanf	Le Bagnard (bootleg on Crazy Kong hardware)	bootleg	1982	Platform / Run Jump	bagman	bagman		2	1	2	joy4way		60	V			256	224	R	
bagmanm2	Bagman (bootleg on Moon Cresta hardware, set 2)	bootleg (GIB)	1984	Platform / Run Jump		bagman	bagman			2				V	3	4	256	224	R	
bagmanmc	Bagman (bootleg on Moon Cresta hardware, set 1)	bootleg	1982	Platform / Run Jump	bagman	bagman		2	1	2	joy8way		60.606061	V			256	224	R	
bagmans	Bagman (Stern Electronics, set 1)	Valadon Automation (Stern Electronics license)	1982	Platform / Run Jump	bagman	bagman		4	1	2	joy8way		60	V			256	224	R	
bagmans2	Bagman (Stern Electronics, set 2)	Valadon Automation (Stern Electronics license)	1982	Platform / Run Jump	bagman	bagman		4	1	2	joy8way		60	V			256	224	R	
bagnard	Le Bagnard (set 1)	Valadon Automation	1982	Platform / Run Jump	bagman	bagman		4	1	2	joy8way		60	V			256	224	R	
bagnarda	Le Bagnard (set 2)	Valadon Automation	1982	Platform / Run Jump	bagman	bagman		4	1	2	joy8way		60	V			256	224	R	
bakatono	Bakatonosama Mahjong Manyuuki (MOM-002 ~ MOH-002)	Monolith Corp.	1991	Tabletop / Mahjong	neogeo	neogeo		2	4	1	joy8way		59.185606	H			320	224	R	
bakubaku	Baku Baku Animal (J 950407 V1.000)	Sega	1995	Puzzle / Drop	stvbios	stvbios		2	6	4	joy8way		59.828244	H			320	224	R	
bakubrkr	Bakuretsu Breaker (Japan)	Kaneko	1992	Shooter / Flying Vertical	explbrkr	explbrkr		2	2	2	joy8way		59	V			256	224	R	
bakuhatu	Mahjong Bakuhatsu Junjouden (Japan)	Nichibutsu	1991	Tabletop / Mahjong	mjgottsu	mjgottsu		2	2	2	joy4way		60	H			640	240	R	
bakutotu	Bakutotsu Kijuutei	Namco	1988	Shooter / Flying Horizontal				2	3	2	joy8way		60.60606	H			288	224	R	
balcube	Bal Cube	Metro	1996	Ball & Paddle / Breakout				2	1	2	joy8way		60	H			320	224	R	
ballbomb	Balloon Bomber	Taito	1980	Shooter / Gallery				1	1	2	joy2way		59.541985	V			260	224	R	
ballboy	Ball Boy	bootleg	2003	Platform / Run Jump		snowbro3	snowbro3			2				H	4	3	256	224	R	
ballbros	Balloon Brothers	East Technology	1992	Puzzle / Drop				2	1	2	joy8way		60	H			384	240	R	
balonfgt	Vs. Balloon Fight (set BF4 A-3)	Nintendo	1984	Platform / Run Jump				4	2	4	joy8way		60	H			256	240	R	
baluba	Baluba-louk no Densetsu (Japan)	Able Corp, Ltd.	1986	Platform / Run Jump				2	1	2	joy8way		60	V			256	224	R	
bam2	Bust a Move 2 - Dance Tengoku Mix (Japanese ROM ver. 1999/07/17 10:00:00)	Metro / Enix / Namco	1999	Rhythm / Dance	psarc95	psarc95		4	3	4	joy8way		60	H			640	480	R	
bananadr	Mahjong Banana Dream [BET] (Japan 891124)	Digital Soft	1989	Tabletop / Mahjong				2	2	2	joy4way		60	H			512	240	R	
banbam	BanBam	Sun Electronics	1984	Maze / Change Surface				2	1	2	joy4way		60	H			240	224	R	
bandido	Bandido	Nintendo (Exidy license)	1980	Shooter / Field	sheriff	sheriff		2	1	1	doublejoy8way		60	V			256	224	R	
bang	Bang!	Gaelco	1998	Shooter / Gun				2	1	2	lightgun		59.1	H			320	240	R	
bangball	Bang Bang Ball (v1.05)	Banpresto / Kunihiko Tashiro+Goodhouse	1996	Puzzle / Toss				2	1	2	joy8way		60	H			320	224	R	
bangbead	Bang Bead	Visco	2000	Sports / Misc.	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
bangbedp	Bang Bead (prototype)		2000	Not Classified			bangbead							H	4	3	320	224	R	
bangj	Gun Gabacho (Japan)	Gaelco	1998	Shooter / Gun	bang	bang		2	1	2	lightgun		59.1	H			320	240	R	
bankp	Bank Panic	Sanritsu / Sega	1984	Shooter / 1st Person				3	3	2	joy2way		60	H			224	224	R	
bankrob	Bank Robbery (Ver. 3.32)	Entertainment Technology Corp.	1993					2	1	1>	joy8way		60.000000	H			512	248	R	
bankroba	Bank Robbery (Ver. 2.00)	Entertainment Technology Corp.	1993			bankrob		2	1	1>	joy8way		60.000000	H			512	248	R	
baraduka	Baraduke (set 2)		1985	Maze / Shooter Large			baraduke			2			60.60606	H	4	3	288	224	R	
baraduke	Baraduke	Namco	1985	Shooter / Flying Horizontal	aliensec	aliensec		2	1	2	joy8way		60.60606	H			288	224	R	
barbball	Barrom Baseball (prototype)	Atari	1983					2	2>	2	keyboard		59.923329	H			336	224	R	
barline	Barline (Japan?)	Nichibutsu	1988	Slot Machine / Video Slot				1	5	1	joy8way		60	H			512	224	R	
barricad	Barricade	Ramtek	1976	Maze / Surround				1	3	4	joy8way		60	H			256	192	R	
barrier	Barrier	Cinematronics (Vectorbeam license)	1979	Puzzle / Misc.				1	3	2	joy4way		38	V	3	4			V	
basebal2	Baseball: The Season II	Cinematronics	1987	Sports / Baseball				2	6	2	stick		60	H			320	240	R	
bass	Sega Bass Fishing	Sega	1997	Sports / Fishing				2	2	1	pedal		60	H			496	384	R	
bassang2	Bass Angler 2 (GE865 VER. JAA)	Konami	1998	Sports / Fishing	fbait2bc	fbait2bc		2	7	2	joy8way		60	H			640	480	R	
bassangl	Bass Angler (GE765 VER. JAA)	Konami	1998	Sports / Fishing	fbaitbc	fbaitbc		2	7	2	joy8way		60	H			640	480	R	
batcir	Battle Circuit (Euro 970319)	Capcom	1997	Fighter / 2.5D				4	2	4	joy8way		59.629403	H			384	224	R	
batcira	Battle Circuit (Asia 970319)	Capcom	1997	Fighter / 2.5D	batcir	batcir		4	2	4	joy8way		59.629403	H			384	224	R	
batcird	Battle Circuit (Euro 970319 Phoenix Edition) (bootleg)	bootleg	1997	Fighter / 2.5D	batcir	batcir		4	2	4	joy8way		59.629403	H			384	224	R	
batcirj	Battle Circuit (Japan 970319)	Capcom	1997	Fighter / 2.5D	batcir	batcir		4	2	4	joy8way		59.629403	H			384	224	R	
batlball	Battle Balls (Germany, newer)	Seibu Kaihatsu (Tuning license)	1995	Puzzle / Drop	senkyu	senkyu		2	3	2	joy8way		54	H			320	240	R	
batlballa	Battle Balls (Hong Kong)	Seibu Kaihatsu (Metrotainment license)	1995	Puzzle / Drop	senkyu	senkyu		2	3	2	joy8way		54	H			320	240	R	
batlballu	Battle Balls (US)	Seibu Kaihatsu (Fabtek license)	1995	Puzzle / Drop	senkyu	senkyu		2	3	2	joy8way		54	H			320	240	R	
batlbubl	Battle Bubble (v2.00)	Banpresto (Limenko license?)	1999	Puzzle / Toss	bangball	bangball		2	1	2	joy8way		60	H			320	224	R	
batlgear	Battle Gear (Ver 2.40 A)	Taito	1998	Driving / Race (chase view)		taitotz		1	7	1	keyboard		60.000000	H			512	384	R	
batlgr2	Battle Gear 2 (v2.04J)	Taito	2000	Driving / Race (chase view)		taitotz		1	7	1	keyboard		60.000000	H			512	384	R	
batman	Batman	Atari Games	1991	Platform / Fighter Scrolling				2	2	1	joy8way		59.922743	H			320	240	R	
batman2	Batman Part 2	bootleg	1981	Shooter / Gallery	phoenix	phoenix		2	2	2	joy2way		60.606061	V			768	224	R	
batmanfr	Batman Forever (JUE 960507 V1.000)	Acclaim	1996	Fighter / 2.5D	stvbios	stvbios		2	4	2	joy8way		59.828244	H			320	224	R	
batrid	Armed Police Batrider (Europe) (Fri Feb 13 1998)		1998	Not Classified				2	3	2	joy8way		60	V			320	240	R	
batridc	Armed Police Batrider (China) (Fri Feb 13 1998)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batrider	Armed Police Batrider (Europe) (Fri Feb 13 1998)	Raizing / Eighting	1998	Shooter / Flying Vertical						2			60	V	3	4	320	240	R	
batriderc	Armed Police Batrider (China) (Fri Feb 13 1998)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batriderhk	Armed Police Batrider (Hong Kong) (Mon Dec 22 1997)		1998	Shooter / Flying Vertical			batrider			2				V	3	4	320	240	R	
batriderj	Armed Police Batrider (Japan, B version) (Fri Feb 13 1998)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batriderja	Armed Police Batrider (Japan, older version) (Mon Dec 22 1997)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batriderk	Armed Police Batrider (Korea) (Fri Feb 13 1998)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batridert	Armed Police Batrider (Taiwan) (Mon Dec 22 1997)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batrideru	Armed Police Batrider (USA) (Fri Feb 13 1998)	Raizing / Eighting	1998	Shooter / Flying Vertical		batrider	batrider			2				V	3	4	320	240	R	
batridj	Armed Police Batrider - B Version (Japan) (Fri Feb 13 1998)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batridja	Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batridk	Armed Police Batrider (Korea) (Fri Feb 13 1998)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batridra	Armed Police Batrider (Japan) (Mon Dec 22 1997)		1998	Shooter / Flying Vertical			batrider			2			60	V	3	4	320	240	R	
batridrk	Armed Police Batrider (Korea) (Fri Feb 13 1998)		1998	Shooter / Flying Vertical			batrider			2			60	V	3	4	320	240	R	
batridta	Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batridu	Armed Police Batrider (U.S.A.) (Fri Feb 13 1998)		1998	Not Classified	batrid			2	3	2	joy8way		60	V			320	240	R	
batsugun	Batsugun	Toaplan	1993	Shooter / Flying Vertical				2	2	2	joy8way		60	V			320	240	R	
batsuguna	Batsugun (older set)	Toaplan	1993	Shooter / Flying Vertical	batsugun	batsugun		2	2	2	joy8way		60	V			320	240	R	
batsugunb	Batsugun (Korean PCB)		1993	Shooter / Flying Vertical			batsugun			2				V	3	4	320	240	R	
batsugunsp	Batsugun - Special Version	Toaplan	1993	Shooter / Flying Vertical	batsugun	batsugun		2	2	2	joy8way		60	V			320	240	R	
battlan2	Battle Lane! Vol. 5 (set 2)		1986	Shooter / Driving Vertical			battlane			2			60	V	3	4	240	256	R	
battlan3	Battle Lane! Vol. 5 (set 3)		1986	Shooter / Driving Vertical			battlane			2			60	V	3	4	240	256	R	
battlane	Battle Lane! Vol. 5 (set 1)	Technos Japan (Taito license)	1986	Shooter / Driving Vertical				2	2	2	joy8way		60	V			240	256	R	
battlane2	Battle Lane! Vol. 5 (set 2)	Technos Japan (Taito license)	1986	Shooter / Driving Vertical	battlane	battlane		2	2	2	joy8way		60	V			240	256	R	
battlane3	Battle Lane! Vol. 5 (set 3)	Technos Japan (Taito license)	1986	Shooter / Driving Vertical	battlane	battlane		2	2	2	joy8way		60	V			240	256	R	
battlcry	Battlecry (Version E)	Home Data	1991	Fighter / 2D				1	3	2	joy4way		59	H			256	224	R	
battleg	Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)		1996	Shooter / Flying Vertical						2			60	V	3	4	320	240	R	
battlega	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)		1996	Shooter / Flying Vertical			battleg			2			60	V	3	4	320	240	R	
battlegb	Battle Garegga (Austria / Hong Kong) (Sat Mar 2 1996)		1996	Shooter / Flying Vertical			battleg			2			60	V	3	4	320	240	R	
battlera	Battle Rangers (World)	Data East Corporation	1988	Shooter / Walking				3	3	2	joy8way		60	H			1088	242	R	
battles	Battles (set 1)	bootleg	1982	Shooter / Flying Vertical	xevious	xevious		2	2	2	joy8way		60.606061	V			288	224	R	
battlex	Battle Cross	Omori Electric Co., Ltd.	1982	Shooter / Flying				2	1	2	joy8way		56	H			256	224	R	
battlntj	Battlantis (Japan)		1987	Shooter / Gallery			battlnts			2			60	V	3	4	256	224	R	
battlnts	Battlantis (program code G)	Konami	1987	Shooter / 3rd Person				2	1	2	joy8way		60	V			256	224	R	
battlntsa	Battlantis (program code F)	Konami	1987	Shooter / 3rd Person		battlnts	battlnts			2				V	3	4	256	224	R	
battlntsj	Battlantis (Japan, program code E)	Konami	1987	Shooter / 3rd Person	battlnts	battlnts		2	1	2	joy8way		60	V			256	224	R	
battroad	The Battle-Road	Irem	1984	Shooter / Driving Vertical				2	2	2	joy8way		55	V			256	256	R	
batugnsp	Batsugun (Special Ver.)		1993	Shooter / Flying Vertical			batsugun			2			60	V	3	4	320	240	R	
batwings	Battle Wings (alt)		1984	Shooter / Flying Vertical			bwing			2			60	V	3	4	256	240	R	
bayrouta	Bay Route (World, FD1094 317-0116)		1989	Not Classified			bayroute						60	H	4	3	320	224	R	
bayroute	Bay Route (set 3, World) (FD1094 317-0116)	Sunsoft / Sega	1989	Platform / Shooter Scrolling				2	3	2	joy8way		60.054389	H			320	224	R	
bayroute1	Bay Route (set 1, US) (unprotected)	Sunsoft / Sega	1989	Platform / Shooter Scrolling	bayroute	bayroute		2	3	2	joy8way		60.054389	H			320	224	R	
bayrouteb1	Bay Route (encrypted, protected bootleg)	bootleg (Datsu)	1989	Platform / Shooter Scrolling	bayroute	bayroute		2	3	2	joy8way		60	H			320	224	R	
bayrouteb2	Bay Route (Datsu bootleg)	bootleg (Datsu)	1989	Platform / Shooter Scrolling	bayroute	bayroute		2	3	2	joy8way		60	H			320	224	R	
bayrouted	Bay Route (set 3, World) (bootleg of FD1094 317-0116 set)	bootleg	1989	Platform / Shooter Scrolling		bayroute	bayroute			2				H	4	3	320	224	R	
bayroutej	Bay Route (set 2, Japan) (FD1094 317-0115)	Sunsoft / Sega	1989	Platform / Shooter Scrolling	bayroute	bayroute		2	3	2	joy8way		60.054389	H			320	224	R	
bayroutejd	Bay Route (set 2, Japan) (bootleg of FD1094 317-0115 set)	bootleg	1989	Platform / Shooter Scrolling		bayroute	bayroute			2				H	4	3	320	224	R	
bayrtbl1	Bay Route (bootleg set 1)		1989	Platform / Shooter Scrolling			bayroute			2			60	H	4	3	320	224	R	
bayrtbl2	Bay Route (bootleg set 2)		1989	Platform / Shooter Scrolling			bayroute			2			60	H	4	3	320	224	R	
bbakradu	Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)		1999	Shooter / Flying Vertical			bbakraid			2			60	V	3	4	320	240	R	
bbakraid	Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999)	Eighting	1999	Shooter / Flying Vertical						2			60	V	3	4	320	240	R	
bbakraidc	Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999)	Eighting	1999	Shooter / Flying Vertical		bbakraid	bbakraid			2				V	3	4	320	240	R	
bbakraidj	Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)	Eighting	1999	Shooter / Flying Vertical		bbakraid	bbakraid			2				V	3	4	320	240	R	
bbakraidja	Battle Bakraid (Japan) (Wed Apr 7 1999)	Eighting	1999	Shooter / Flying Vertical		bbakraid	bbakraid			2				V	3	4	320	240	R	
bballoon	BnB Arcade	Eolith	2003	Maze / Collect				2	2	2	joy8way		60	H			320	256	R	
bballs	Bouncing Balls	Comad	1991	Puzzle / Drop				2	2	2	joy8way		60	H			256	224	R	
bballsa	Bouncing Balls (Adult)	Comad	1991	Puzzle / Drop		bballs	bballs			2				H	4	3	256	224	R	
bbbxing	Best Bout Boxing (ver 1.3)	Jaleco	1994	Sports / Boxing				2	5	2	joy8way		60	H			320	224	R	
bbmanw	Bomber Man World / New Dyna Blaster - Global Quest	Irem	1992	Maze / Collect				4	2	4	joy8way		60	H			320	240	R	
bbmanwj	Bomber Man World (Japan)	Irem	1992	Maze / Collect	bbmanw	bbmanw		4	2	4	joy8way		60	H			320	240	R	
bbmanwja	Bomber Man World (Japan, revised sound hardware)	Irem	1992	Maze / Collect		bbmanw	bbmanw							H	4	3	320	240	R	
bbonk	Bigfoot Bonkers	Meadows Games, Inc.	1976	Maze / Surround				1	2	2	joy8way		60	H			256	230	R	
bbprot	unknown fighting game 'BB' (prototype)	<unknown>	199?	Fighter / Versus				2	6	2	joy8way		60	H			296	224	R	
bbredux	Bubble Bobble ('bootleg redux' hack for Bobble Bobble PCB)	bootleg (Punji)	2013	Platform / Run Jump		bublbobl	bublbobl			2				H	4	3	256	224	R	
bbros	Buster Bros. (USA)	Mitchell (Capcom license)	1989	Shooter / 3rd Person	pang	pang		1	2	2	joy8way		57.42	H			384	240	R	
bbust2	Beast Busters 2nd Nightmare	SNK	1998	Shooter / Gun	hng64	hng64		3	3	3	stick		60	H			512	448	R	
bbusters	Beast Busters (World)	SNK	1989	Shooter / Gun				6	2	3	lightgun		60	H			256	224	R	
bbustersj	Beast Busters (Japan, Version 2, 3 Player)		1989	Shooter / Gun			bbusters							H	4	3	256	224	R	
bbustersu	Beast Busters (US, Version 3)	SNK	1989	Shooter / Gun	bbusters	bbusters		6	2	3	lightgun		60	H			256	224	R	
bbustersua	Beast Busters (US, Version 2)	SNK	1989	Shooter / Gun		bbusters	bbusters							H	4	3	256	224	R	
bchopper	Battle Chopper	Irem	1987	Shooter / Flying				2	4	2	joy8way		55.017606	H			384	256	R	
bcrusher	Bone Crusher	bootleg	1985	Platform / Fighter	kncljoe	kncljoe		2	2	2	joy8way		60	H			240	256	R	
bcruzm12	Battle Cruiser M-12	Sigma Enterprises Inc.	1983	Shooter / Gallery				2	1	2	joy8way		60	V			256	224	R	
bcstry	B.C. Story (set 1)	SemiCom / Tirano	1997	Multiplay / Mini-Games				2	3	2	joy8way		60	H			320	240	R	
bcstrya	B.C. Story (set 2)	SemiCom / Tirano	1997	Multiplay / Mini-Games	bcstry	bcstry		2	3	2	joy8way		60	H			320	240	R	
bctvidbs	MPU4 Video Firmware		199?					4	7	1	joy8way									
bdrdown	Border Down (Rev A) (GDL-0023A)	G.Rev	2003	Shooter / Flying Horizontal	naomigd	naomigd		2	6	2	joy8way		60	H			640	480	R	
beachspi	Beach Spikers (GDS-0014)	Sega	2001	Sports / Volleyball	naomi2	naomi2		2	6	2	joy8way		60	H			640	480	R	
beaminv	Beam Invader	Teknon Kogyo	1979	Shooter / Gallery				1	1	2	paddle		60	V			248	216	R	
beaminva	Beam Invader (set 2)		1979	Not Classified	beaminv			1	1	2	paddle		60	V			248	216	R	
beast	beast													V	4	3	272	236	R	
beastf	Beastie Feastie	Epos Corporation	1984	Platform / Run Jump	suprglob	suprglob		1	2	2	joy4way		60.606061	V			288	224	R	
beastfp	Beastie Feastie (conversion kit)		1984	Platform / Run Jump			suprglob			2				V	3	4	288	224	R	
beastrzb	Beastorizer (USA bootleg)		1997	Fighter / Versus	psarc95			4	3	4	joy8way		60	H			640	480	R	
beastrzr	Beastorizer (USA)	Eighting / Raizing	1997	Fighter / Versus	psarc95	psarc95		4	3	4	joy8way		60	H			640	480	R	
beathead	BeatHead (prototype)	Atari Games	1993	Platform / Run Jump				2	2	2	joy8way		60	H			336	240	R	
beautyb	Beauty Block	AMT	1991	Puzzle / Drop				2	3	2	joy8way		60	H			320	224	R	
beeline	Beeline (39-360-075)	BFM	1991	Quiz / Questions in English				4	10	1	joy8way		50	H			512	256	R	
beezer	Beezer (set 1)	Tong Electronic	1982	Puzzle / Maze				1	4	1	trackball		60	H			288	240	R	
beezer1	Beezer (set 2)	Tong Electronic	1982	Puzzle / Maze	beezer	beezer		1	4	1	trackball		60	H			288	240	R	
begas	Bega's Battle (Revision 3)	Data East	1983	Platform / Run Jump				2	2	1	stick		59.940052	H			704	480	R	
begas1	Bega's Battle (Revision 1)	Data East	1983	Platform / Run Jump	begas	begas		2	2	1	stick		59.940052	H			704	480	R	
bel	Behind Enemy Lines	Sega / EPL Productions	1997	Shooter / Gun				2	4	2	joy8way		60	H			496	384	R	
benberob	Ben Bero Beh (Japan)	Taito	1984	Platform / Shooter				2	2	2	joy8way		59.5	H			256	240	R	
berabohm	Beraboh Man (Japan, Rev C)	Namco	1988	Platform / Fighter Scrolling				2	6	2	joy8way		60.60606	H			288	224	R	
berabohmo	Beraboh Man (Japan version B)		1988	Not Classified	berabohm			2	6	2	joy8way		60.60606	H			288	224	R	
beraboho	Beraboh Man (Japan version B)		1988	Platform / Fighter Scrolling			berabohm			2			60	H	4	3	288	224	R	
berenstn	The Berenstain Bears in Big Paw's Cave	Enter-Tech, Ltd.	1984	Maze / Escape				1	1	1	joy8way		60.000000	V			240	224	R	
berlwall	The Berlin Wall	Kaneko	1991	Platform / Run Jump				2	3	2	joy8way		60	H			256	224	R	
berlwallk	The Berlin Wall (Korea)	Kaneko (Inter license)	1991	Platform / Run Jump		berlwall	berlwall			2				H	4	3	256	224	R	
berlwallt	The Berlin Wall (bootleg?)	Kaneko	1991	Platform / Run Jump	berlwall	berlwall		2	3	2	joy8way		60	H			256	224	R	
berlwalt	The Berlin Wall (bootleg ?)		1991	Platform / Run Jump			berlwall			2			60	H	4	3	256	224	R	
bermudaa	Bermuda Triangle (World Wars) (US)		1987	Shooter / Flying Vertical			worldwar			2			60	V	3	4	400	224	R	
bermudao	Bermuda Triangle (Japan old version)		1987	Shooter / Flying Vertical			bermudat			2			60	V	3	4	400	224	R	
bermudat	Bermuda Triangle (World?)	SNK	1987	Shooter / Flying Vertical				2	2	2	joy8way		60	V			400	224	R	
bermudata	Bermuda Triangle (World Wars) (US)	SNK	1987	Shooter / Flying Vertical	worldwar	worldwar		2	2	2	joy8way		60	V			400	224	R	
bermudatj	Bermuda Triangle (Japan)	SNK	1987	Shooter / Flying Vertical	bermudat	bermudat		2	2	2	joy8way		60	V			400	224	R	
berzerk	Berzerk (set 1)	Stern Electronics	1980	Maze / Shooter Small				3	1	2	joy8way		59.637405	H			256	224	R	
berzerk1	Berzerk (set 2)	Stern Electronics	1980	Maze / Shooter Small	berzerk	berzerk		3	1	2	joy8way		59.637405	H			256	224	R	
berzerkg	Berzerk (German Speech)	Stern Electronics	1980	Maze / Shooter Small		berzerk	berzerk	3	1	2	joy8way		59.637405	H			256	224	R	
bestbest	Best Of Best	SunA	1994	Fighter / Versus				2	6	2	joy8way		59.1734	H			256	224	R	
bestleag	Best League (bootleg of Big Striker, Italian Serie A)	bootleg	1993	Sports / Soccer	bigstrik	bigstrik		2	3	2	joy8way		60	H			256	224	R	
bestleaw	Best League (bootleg of Big Striker, World Cup)	bootleg	1993	Sports / Soccer	bigstrik	bigstrik		2	3	2	joy8way		60	H			256	224	R	
bestri	Bestri (Korea, set 1)	F2 System	1998	MultiGame / Compilation				2	2	2	joy4way		60	H			320	240	R	
bgaregga	Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)	Raizing / Eighting	1996	Shooter / Flying Vertical				2	3	2	joy8way		60	V			320	240	R	
bgareggabl	1945 Part-2 (Chinese hack of Battle Garegga)	bootleg	1996	Shooter / Flying Vertical		bgaregga	bgaregga			2				V	3	4	320	240	R	
bgareggabla	Lei Shen Zhuan Thunder Deity Biography (Chinese hack of Battle Garegga)	bootleg	1996	Shooter / Flying Vertical		bgaregga	bgaregga			2				V	3	4	320	240	R	
