game.rom	game.name	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
2020bbh	2020 Super Baseball (set 3)	SNK / Pallas	1991	Sports / Baseball	2020bb	2020bb		2	4	2	joy8way		59.185606	H			320	224	R	
20pacgal	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)	Namco / Cosmodog	2000	MultiGame / Compilation				2	1	2	joy8way		60	V			288	224	R	
20pacgala	Ms. Pac-Man/Galaga - 20 Year Reunion (V1.01)		2000		20pacgal					2			60	V			288	224	R	
20pacgalr0	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)	Namco / Cosmodog	2000			20pacgal		2	1	2	joy8way		60.000000	V			288	224	R	
20pacgalr1	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)	Namco / Cosmodog	2000	MultiGame / Compilation		20pacgal	20pacgal	2	1	2	joy8way		60.000000	V			288	224	R	
20pacgalr2	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)	Namco / Cosmodog	2000	MultiGame / Compilation		20pacgal	20pacgal	2	1	2	joy8way		60.000000	V			288	224	R	
20pacgalr3	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)	Namco / Cosmodog	2000			20pacgal		2	1	2	joy8way		60.000000	V			288	224	R	
20pacgalr4	Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)	Namco / Cosmodog	2000	MultiGame / Compilation		20pacgal	20pacgal	2	1	2	joy8way		60.000000	V			288	224	R	
25pacman	Pac-Man - 25th Anniversary Edition (Rev 2.00)	Namco / Cosmodog	2005					2	1	2	joy8way		60.000000	V			288	224	R	
280zzzap	280-ZZZAP	Dave Nutting Associates / Midway	1976	Driving / 1st Person				1	2	1	pedal		59.541985	H			260	224	R	
2mindril	Two Minute Drill (Ver 2.93A 1994/02/16)	Taito	1993	Electromechanical / Misc.				1	4	1	dial		60	H			320	224	R	
39in1	39 in 1 MAME bootleg	bootleg	2004	MultiGame / Compilation				3	3	2	joy8way		60	V			296	480	R	
3bagflnz	3 Bags Full (3VXFC5345, New Zealand)	Aristocrat	1996	Slot Machine / Video Slot		3bagflvt	3bagflvt	1	6	1	joy8way		60	H			304	216	R	
3bagflvt	3 Bags Full - 5VXFC790 (Victorian)	Aristocrat	1994					1	6	1	joy8way		60.000000	H			304	216	R	
3countb	3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)	SNK	1993	Sports / Wrestling	neogeo	neogeo		2	4	2	joy8way		59.185606	H			320	224	R	
3countba														H	4	3	320	224	R	
3ds	Three Ds - Three Dealers Casino House		1985	Not Classified				1	7	2	joy8way		60	H			256	224	R	
3in1semi	New HyperMan (3-in-1 with Cookie & Bibi & HyperMan)	SemiCom / XESS	1998	MultiGame / Compilation				2	3	2	joy8way		57.5	H			256	224	R	
3kokushi	Sankokushi (Japan)	Mitchell	1996	Puzzle / Match				2	2	2	joy8way		60	H			320	240	R	
3stooges	The Three Stooges In Brides Is Brides (set 1)	Mylstar	1984	Shooter / Field				2	1	3	joy8way		61.419025	H			256	240	R	
3super8	3 Super 8 (Italy)	<unknown>	1993?	Casino / Cards		spk116it		1	12	1	joy8way		60	H			512	256	R	
3wonders	Three Wonders (World 910520)	Capcom	1991	MultiGame / Compilation				2	3	2	joy8way		59.61	H			384	224	R	
3wondersb	Three Wonders (bootleg)	bootleg	1991	MultiGame / Compilation		3wonders	3wonders			2				H	4	3	384	224	R	
3wondersh	Three Wonders (hack)	bootleg	1991	MultiGame / Compilation	3wonders	3wonders		2	3	2	joy8way		59.61	H			384	224	R	
3wondersr1	Three Wonders (World 910513)	Capcom	1991	MultiGame / Compilation		3wonders	3wonders			2				H	4	3	384	224	R	
3wondersu	Three Wonders (USA 910520)	Capcom	1991	MultiGame / Compilation	3wonders	3wonders		2	3	2	joy8way		59.61	H			384	224	R	
3wonderu	Three Wonders (US 910520)		1991	Multiplay			3wonders			2			60	H	4	3	384	224	R	
40love	Forty-Love (World)	Taito Corporation	1984	Sports / Tennis				2	4	2	joy4way		60	H			256	224	R	
47pie2	Idol Janshi Suchie-Pai II (v1.1)	Jaleco	1994	Tabletop / Mahjong				1	5	1	joy8way		60	H			320	224	R	
47pie2o	Idol Janshi Suchie-Pai II (v1.0)	Jaleco	1994	Tabletop / Mahjong	47pie2	47pie2		1	5	1	joy8way		60	H			320	224	R	
48in1	48 in 1 MAME bootleg (set 1, ver 3.09)	bootleg	2004	MultiGame / Compilation	39in1	39in1		3	3	2	joy8way		60	V			296	480	R	
48in1a	48 in 1 MAME bootleg (set 3, ver 3.02)	bootleg	2004	MultiGame / Compilation	39in1	39in1		3	3	2	joy8way		60	V			296	480	R	
4dwarrio	4-D Warriors (315-5162)	Coreland / Sega	1985	Shooter / Flying Horizontal				2	2	2	joy8way		60.096154	H			512	224	R	
4enraya	4 En Raya (set 1)	IDSA	1990	Puzzle / Match				2	2	2	joy2way		60	H			256	224	R	
4enrayaa	4 En Raya (set 2)	IDSA	1990	Puzzle / Match		4enraya	4enraya			2				H	4	3	256	224	R	
4in1	4 Fun in 1	Armenia / Food and Fun	1981	MultiGame / Compilation				1	1	2	joy8way		60.606061	V			256	224	R	
4in1boot	Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)	K1 Soft	2002	MultiGame / Compilation				3	3	2	joy8way		57.5	H			256	224	R	
4psimasy	Mahjong 4P Simasyo (Japan)	Sphinx / AV Japan	1994	Tabletop / Mahjong				2	2	2	joy4way		60	H			640	240	R	
4roses	Four Roses (encrypted, set 1)	<unknown>	1999	Casino / Misc.				2	2	1	joy8way		60	H			384	232	R	
4rosesa	Four Roses (encrypted, set 2)	<unknown>	1999	Casino / Misc.	4roses	4roses		2	2	1	joy8way		60	H			384	232	R	
5	005		1981							2			59.998138	V			256	224	R	
500gp	500 GP (US, 5GP3 Ver. C)	Namco	1998	Driving / Motorbike				1	3	2	vjoy2way		59.8824	H			640	480	R	
