zzyzzyxx2.rom	game.name	game.name.short	game.publisher	game.year	game.genre	game.romof	game.bios	game.cloneof	game.coinslots	game.control.buttons	game.control.count	game.control.type	game.mature	monitor.count	monitor.freq	monitor.orientation	monitor.ratio.horizontal	monitor.ratio.vertical	monitor.resolution.horizontal	monitor.resolution.vertical	monitor.type
fghthistua	Fighter's History (US ver 42-06, DE-0395-1 PCB)	Fighter's History	Data East Corporation	1993	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	320	240	UNKNOWN
fghthistub	Fighter's History (US ver 42-05, DE-0395-1 PCB)	Fighter's History	Data East Corporation	1993	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	320	240	UNKNOWN
fghthistuc	Fighter's History (US ver 42-03, DE-0380-2 PCB)	Fighter's History	Data East Corporation	1993	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	320	240	UNKNOWN
fghthistu	Fighter's History (US ver 42-09, DE-0396-0 PCB)	Fighter's History	Data East Corporation	1993	Fighter / Versus	fghthist	fghthist	UNKNOWN	2	6	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	240	R
fghthsta	Fighter's History (US ver 42-05, alternate hardware )	Fighter's History	UNKNOWN	1993	Fighter / Versus	UNKNOWN	UNKNOWN	fghthist	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	H	4	3	320	240	R
fghthstw	Fighter's History (World)	Fighter's History	UNKNOWN	1993	Fighter / Versus	UNKNOWN	UNKNOWN	fghthist	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	H	4	3	320	240	R
fghtjam	Capcom Fighting Jam (JAM1 Ver. A)	Capcom Fighting Jam	Capcom / Namco	2004	Fighter / Versus	sys246	sys246	UNKNOWN	1	3	0	vjoy2way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	480	R
fghtmna	Fighting Mania (QG918 VER. AAA)	Fighting Mania	Konami	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fghtmn	Fighting Mania (QG918 VER. EAA)	Fighting Mania	Konami	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fghtmnk	Fighting Mania (QG918 VER. KAA)	Fighting Mania	Konami	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fghtmnu	Fighting Mania (QG918 VER. UAA)	Fighting Mania	Konami	2000	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fgoala	Field Goal (set 2)	Field Goal	Taito	1979	Ball & Paddle / Breakout	fgoal	fgoal	UNKNOWN	1	4	2	paddle		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	240	R
fgoal	Field Goal (set 1)	Field Goal	Taito	1979	Ball & Paddle / Breakout	UNKNOWN	UNKNOWN	UNKNOWN	1	4	2	paddle		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	240	R
fgtlayer	Fighting Layer (Japan, FTL1/VER.A)	Fighting Layer	Arika / Namco	1998	Fighter / Versus	UNKNOWN	UNKNOWN	UNKNOWN	2	6	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	480	R
fhawk	Fighting Hawk (World)	Fighting Hawk	Taito Corporation Japan	1988	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	224	R
fhawkj	Fighting Hawk (Japan)	Fighting Hawk	Taito Corporation	1988	Shooter / Flying Vertical	fhawk	fhawk	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	224	R
fhboxers	Funky Head Boxers (JUETBKAL 951218 V1.000)	Funky Head Boxers	Sega	1995	Sports / Boxing	stvbios	stvbios	UNKNOWN	2	6	4	joy8way		UNKNOWN	59.828244	H	UNKNOWN	UNKNOWN	320	224	R
fhuntera	Fortune Hunter (2XF5196I02, USA)	Fortune Hunter	Aristocrat	1996	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	304	216	UNKNOWN
fhunter	Fortune Hunter (2XF5196I01, USA)	Fortune Hunter	Aristocrat	1996	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	304	216	UNKNOWN
fi6845	Fast Invaders (6845 version)	Fast Invaders	Fiberglass	1979	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	V	UNKNOWN	UNKNOWN	640	266	UNKNOWN
fi8275	Fast Invaders (8275 version)	Fast Invaders	Fiberglass	1979	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	V	UNKNOWN	UNKNOWN	640	266	UNKNOWN
ficpio2	486-PIO-2	486-PIO-2	FIC	1995	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	53.178707	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
ficvt503	VT-503	VT-503	FIC	1997	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	53.178707	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fidlstix	Fiddle Stix (1st Rev)	Fiddle Stix	Quick $ilver Development Co.	1995	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	50.000000	H	UNKNOWN	UNKNOWN	96	8	UNKNOWN
fieldday	Field Day	Field Day	Taito Corporation	1984	Sports / Track & Field	UNKNOWN	UNKNOWN	UNKNOWN	2	3	4	joy4way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	256	224	R
fightfeva	Fight Fever / Wang Jung Wang (set 2)	Fight Fever / Wang Jung Wang	Viccom	1994	Fighter / Versus	fightfev	fightfev	UNKNOWN	2	4	2	joy8way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	R
fightfev	Fight Fever / Wang Jung Wang (set 1)	Fight Fever / Wang Jung Wang	Viccom	1994	Fighter / Versus	neogeo	neogeo	UNKNOWN	2	4	2	joy8way		UNKNOWN	59.185606	H	UNKNOWN	UNKNOWN	320	224	R
fightfva	Fight Fever (set 2)	Fight Fever	UNKNOWN	1994	Fighter / Versus	UNKNOWN	UNKNOWN	fightfev	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	H	4	3	320	224	R
fightrol	Fighting Roller	Fighting Roller	Kaneko (Taito license)	1983	Fighter / Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	224	R
filetto_cga	ISA8_CGA_FILETTO	ISA8_CGA_FILETTO	Cinematronics / Advanced Microcomputer Systems	1982	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.922748	H	UNKNOWN	UNKNOWN	640	200	UNKNOWN
filetto	Filetto (v1.05 901009)	Filetto	Novarmatic	1990	Puzzle / Match	UNKNOWN	UNKNOWN	UNKNOWN	1	1	2	joy4way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	480	R
filthyr	Filthy Rich (Russian)	Filthy Rich	WMS	200?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	256	224	UNKNOWN
finalap2	Final Lap 2	Final Lap 2	Namco	1990	Driving / Race (chase view)	UNKNOWN	UNKNOWN	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalap2j	Final Lap 2 (Japan)	Final Lap 2	Namco	1990	Driving / Race (chase view)	finalap2	finalap2	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalap3a	Final Lap 3 (World, set 2)	Final Lap 3	Namco	1992	Driving / Race (chase view)	UNKNOWN	finalap3	finalap3	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalap3bl	Final Lap 3 (bootleg)	Final Lap 3	Namco	1992	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	UNKNOWN
finalap3	Final Lap 3 (World, Rev C)	Final Lap 3	Namco	1992	Driving / Race (chase view)	UNKNOWN	UNKNOWN	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalap3jc	Final Lap 3 (Japan - Rev C)	Final Lap 3	Namco	1992	UNKNOWN	UNKNOWN	finalap3	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalap3j	Final Lap 3 (Japan)	Final Lap 3	Namco	1992	Driving / Race (chase view)	finalap3	finalap3	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalapc	Final Lap (Rev C)	Final Lap	UNKNOWN	1987	Driving / Race (chase view)	UNKNOWN	UNKNOWN	finallap	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finalapd	Final Lap (Rev D)	Final Lap	UNKNOWN	1987	Driving / Race (chase view)	UNKNOWN	UNKNOWN	finallap	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finalaprb	Final Lap R (Rev. B)	Final Lap R	UNKNOWN	1995	UNKNOWN	finalapr	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	224	R
finalapr	Final Lap R (Rev. B)	Final Lap R	Namco	1995	Driving / Race (chase view)	UNKNOWN	UNKNOWN	UNKNOWN	2	1	1	pedal		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	224	R
finalaprj	Final Lap R (Japan Rev. C)	Final Lap R	Namco	1995	Driving / Race (chase view)	UNKNOWN	finalapr	finalapr	2	1	1	pedal		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	288	224	R
finalapro	Final Lap R	Final Lap R	Namco	1995	Driving / Race (chase view)	finalapr	finalapr	UNKNOWN	2	1	1	pedal		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	224	R
finalb	Final Blow (World)	Final Blow	Taito Corporation Japan	1988	Sports / Boxing	UNKNOWN	UNKNOWN	UNKNOWN	2	5	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	224	R
finalbj	Final Blow (Japan)	Final Blow	Taito Corporation	1988	Sports / Boxing	finalb	finalb	UNKNOWN	2	5	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	224	R
finalbny	Mahjong Final Bunny [BET] (Japan)	Mahjong Final Bunny [BET]	Nichibutsu	1991	Tabletop / Mahjong	vanilla	vanilla	UNKNOWN	1	2	2	joy4way	TRUE	UNKNOWN	60	H	UNKNOWN	UNKNOWN	640	240	R
finalbu	Final Blow (US)	Final Blow	Taito America Corporation	1988	Sports / Boxing	finalb	finalb	UNKNOWN	2	5	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	224	R
finalgdr	Final Godori (Korea, version 2.20.5915)	Final Godori	SemiCom	2001	Tabletop / Hanafuda	UNKNOWN	UNKNOWN	UNKNOWN	2	3	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	320	240	R
finalizb	Finalizer - Super Transformation (bootleg)	Finalizer - Super Transformation	UNKNOWN	1985	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	finalizr	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	V	3	4	272	224	R
finalizrb	Finalizer - Super Transformation (bootleg)	Finalizer - Super Transformation	bootleg	1985	Shooter / Flying Vertical	finalizr	finalizr	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	272	224	R
finalizr	Finalizer - Super Transformation (set 1)	Finalizer - Super Transformation	Konami	1985	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	272	224	R
finallapc	Final Lap (Rev C)	Final Lap	Namco	1987	Driving / Race (chase view)	finallap	finallap	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finallapd	Final Lap (Rev D)	Final Lap	Namco	1987	Driving / Race (chase view)	finallap	finallap	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finallap	Final Lap (Rev E)	Final Lap	Namco	1987	Driving / Race (chase view)	UNKNOWN	UNKNOWN	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finallapjb	Final Lap (Japan, Rev B)	Final Lap	Namco	1987	Driving / Race (chase view)	finallap	finallap	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finallapjc	Final Lap (Japan, Rev C)	Final Lap	Namco	1987	Driving / Race (chase view)	finallap	finallap	UNKNOWN	2	1	1	pedal		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finalp2j	Final Lap 2 (Japan)	Final Lap 2	UNKNOWN	1990	Driving / Race (chase view)	UNKNOWN	UNKNOWN	finalap2	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finalp3a	Final Lap 3 (World)	Final Lap 3	UNKNOWN	1992	UNKNOWN	UNKNOWN	UNKNOWN	finalap3	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finalttr	Final Tetris	Final Tetris	Jeil Computer System	1993	Puzzle / Drop	UNKNOWN	UNKNOWN	UNKNOWN	3	3	2	joy8way		UNKNOWN	57.5	H	UNKNOWN	UNKNOWN	256	224	R
findlove	Zenkoku Seifuku Bishoujo Grand Prix Find Love (J 971212 V1.000)	Zenkoku Seifuku Bishoujo Grand Prix Find Love	Daiki / FCF	1997	Puzzle / Reconstruction	stvbios	stvbios	UNKNOWN	2	6	4	joy8way	TRUE	UNKNOWN	59.828244	H	UNKNOWN	UNKNOWN	320	224	R
findout	Find Out (Version 4.04)	Find Out	Elettronolo	1987	Quiz / Questions in Italian	UNKNOWN	UNKNOWN	UNKNOWN	2	5	1	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	416	224	R
finehour	Finest Hour (Japan)	Finest Hour	Namco	1989	Platform / Shooter Scrolling	UNKNOWN	UNKNOWN	UNKNOWN	2	3	2	joy8way		UNKNOWN	60.606061	H	UNKNOWN	UNKNOWN	288	224	R
finfurl2	Final Furlong 2 (World)	Final Furlong 2	Namco	1998	Sports / Horse Racing	UNKNOWN	UNKNOWN	UNKNOWN	1	3	2	vjoy2way		UNKNOWN	59.8824	H	UNKNOWN	UNKNOWN	640	480	R
finfurl2j	Final Furlong 2 (Japan)	Final Furlong 2	Namco	1998	Sports / Horse Racing	finfurl2	finfurl2	UNKNOWN	1	3	2	vjoy2way		UNKNOWN	59.8824	H	UNKNOWN	UNKNOWN	640	480	R
finfurl	Final Furlong (FF2 Ver. A)	Final Furlong	Namco	1997	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.882400	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
finlapjb	Final Lap (Japan - Rev B)	Final Lap	UNKNOWN	1987	Driving / Race (chase view)	UNKNOWN	UNKNOWN	finallap	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finlapjc	Final Lap (Japan - Rev C)	Final Lap	UNKNOWN	1987	Driving / Race (chase view)	UNKNOWN	UNKNOWN	finallap	UNKNOWN	UNKNOWN	1	UNKNOWN		UNKNOWN	60.60606	H	4	3	288	224	R
finlarch	Final Arch (J 950714 V1.001)	Final Arch	Sega	1995	Sports / Baseball	smleague	smleague	UNKNOWN	2	6	4	joy8way		UNKNOWN	59.828244	H	UNKNOWN	UNKNOWN	320	224	R
finlflng	Final Furlong (FF2 Ver. A)	Final Furlong	UNKNOWN	1997	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	4	1	pedal		UNKNOWN	59.8824	H	UNKNOWN	UNKNOWN	640	480	R
firebarr	Fire Barrel (Japan)	Fire Barrel	Irem	1993	Shooter / Flying Vertical	UNKNOWN	airass	airass	2	3	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
firebatl	Fire Battle	Fire Battle	Taito	1984	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	1	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	288	224	R
firebeas	Firebeast (prototype)	Firebeast	Atari	1983	Platform / Shooter	UNKNOWN	UNKNOWN	UNKNOWN	2	2	1	trackball		UNKNOWN	61.035156	H	UNKNOWN	UNKNOWN	256	232	R
firedan	Fire Dancer (20184911, NSW/ACT)	Fire Dancer	Aristocrat	200?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	60.000000	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
firefoxa	Fire Fox (set 2)	Fire Fox	Atari	1984	Shooter / Flying 1st Person	firefox	firefox	UNKNOWN	2	4	1	stick		UNKNOWN	59.940052	H	UNKNOWN	UNKNOWN	704	480	R
firefox	Fire Fox (set 1)	Fire Fox	Atari	1984	Shooter / Flying 1st Person	UNKNOWN	UNKNOWN	UNKNOWN	2	4	1	stick		UNKNOWN	59.940052	H	UNKNOWN	UNKNOWN	704	480	R
firehawk	Fire Hawk (World) / Huohu Chuanshuo (China) (horizontal)	Fire Hawk	ESD	2001	Shooter / Flying Vertical	UNKNOWN	spec2k	spec2k	2	2	2	joy8way		UNKNOWN	56	H	UNKNOWN	UNKNOWN	256	224	R
firehawkv	Fire Hawk (switchable orientation)	Fire Hawk	ESD	2001	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	56.180000	H	UNKNOWN	UNKNOWN	256	224	UNKNOWN
fireone	Fire One	Fire One	Exidy	1979	Shooter / Gallery	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	paddle		UNKNOWN	59.824356	H	UNKNOWN	UNKNOWN	256	224	R
fireshrka	Fire Shark (earlier)	Fire Shark	Toaplan	1989	Shooter / Flying Vertical	UNKNOWN	fireshrk	fireshrk	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	57.613169	V	3	4	320	240	R
fireshrkd	Fire Shark (Korea, set 1, easier)	Fire Shark	Toaplan (Dooyong license)	1990	Shooter / Flying Vertical	fireshrk	fireshrk	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
fireshrkdh	Fire Shark (Korea, set 2, harder)	Fire Shark	Toaplan (Dooyong license)	1990	Shooter / Flying Vertical	fireshrk	fireshrk	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
fireshrk	Fire Shark	Fire Shark	Toaplan	1990	Shooter / Flying Vertical	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
firetpbl	Fire Trap (Japan bootleg)	Fire Trap	UNKNOWN	1986	Climbing	UNKNOWN	UNKNOWN	firetrap	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	V	3	4	256	240	R
firetrapa	Fire Trap (US, set 2)	Fire Trap	Wood Place Inc. (Data East USA license)	1986	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	57.403400	V	UNKNOWN	UNKNOWN	256	240	UNKNOWN
firetrapbl	Fire Trap (Japan bootleg)	Fire Trap	bootleg	1986	Climbing / Building	firetrap	firetrap	UNKNOWN	2	1	2	doublejoy4way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	240	R
firetrap	Fire Trap (US, set 1)	Fire Trap	Wood Place Inc. (Data East USA license)	1986	Climbing / Building	UNKNOWN	UNKNOWN	UNKNOWN	2	1	2	doublejoy4way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	256	240	R
firetrapj	Fire Trap (Japan)	Fire Trap	Wood Place Inc.	1986	Climbing / Building	UNKNOWN	firetrap	firetrap	2	1	2	doublejoy4way		UNKNOWN	57.403400	V	UNKNOWN	UNKNOWN	256	240	R
firetrk	Fire Truck / Smokey Joe	Fire Truck / Smokey Joe	Atari	1978	Driving / FireTruck Guide	UNKNOWN	UNKNOWN	UNKNOWN	2	3	2	dial		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
firstcl	First Class Traveller (set 1)	First Class Traveller	Novotech	2002?	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	53.178707	H	UNKNOWN	UNKNOWN	640	480	UNKNOWN
fishfren	Fishin' Frenzy (prototype)	Fishin' Frenzy	Time Warner Interactive	1995	Sports / Fishing	UNKNOWN	UNKNOWN	UNKNOWN	4	3	2	joy8way		UNKNOWN	59.922743	H	UNKNOWN	UNKNOWN	360	240	R
fitegol2	Fighting Golf (US)	Fighting Golf	UNKNOWN	1988	Sports / Golf	UNKNOWN	UNKNOWN	fitegolf	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60	H	4	3	288	216	R
fitegolf2	Lee Trevino's Fighting Golf (US, Ver 2)	Lee Trevino's Fighting Golf	SNK	1988	Sports / Golf	UNKNOWN	fitegolf	fitegolf	UNKNOWN	UNKNOWN	2	UNKNOWN		UNKNOWN	60.000000	H	4	3	288	216	R
fitegolf	Lee Trevino's Fighting Golf (World?)	Lee Trevino's Fighting Golf	SNK	1988	Sports / Golf	UNKNOWN	UNKNOWN	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	216	R
fitegolfu	Lee Trevino's Fighting Golf (US)	Lee Trevino's Fighting Golf	SNK	1988	Sports / Golf	fitegolf	fitegolf	UNKNOWN	2	2	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	288	216	R
fitfight	Fit of Fighting	Fit of Fighting	bootleg	199?	Fighter / Versus	UNKNOWN	UNKNOWN	UNKNOWN	4	3	2	joy8way		UNKNOWN	60	H	UNKNOWN	UNKNOWN	296	224	R
fitterbl	Fitter (bootleg of Round-Up)	Fitter	bootleg	1981	Maze / Defeat Enemies	roundup	roundup	UNKNOWN	1	1	2	joy8way		UNKNOWN	60.606061	V	UNKNOWN	UNKNOWN	256	224	R
fitter	Fitter	Fitter	Taito Corporation	1981	Maze / Defeat Enemies	roundup	roundup	UNKNOWN	1	1	2	joy8way		UNKNOWN	60.606061	V	UNKNOWN	UNKNOWN	256	224	R
fiveside	Five a Side Soccer (ver UAA)	Five a Side Soccer	Konami	1995	Sports / Soccer	UNKNOWN	UNKNOWN	UNKNOWN	1	1	2	stick		UNKNOWN	60	V	UNKNOWN	UNKNOWN	512	400	R
fixeighta	FixEight (Southeast Asia)	FixEight	Toaplan	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightat	FixEight (Southeast Asia, Taito license)	FixEight	Toaplan (Taito license)	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightb	FixEight (bootleg)	FixEight	UNKNOWN	1992	UNKNOWN	fixeight	UNKNOWN	UNKNOWN	3	2	3	joy8way		UNKNOWN	60	V	UNKNOWN	UNKNOWN	320	240	R
fixeightbl	FixEight (Korea, bootleg)	FixEight	bootleg	1992	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	UNKNOWN	UNKNOWN	320	240	UNKNOWN
fixeight	FixEight (Europe)	FixEight	Toaplan	1992	Shooter / Walking	UNKNOWN	UNKNOWN	UNKNOWN	3	2	3	joy8way		UNKNOWN	59	V	UNKNOWN	UNKNOWN	320	240	R
fixeighth	FixEight (Hong Kong)	FixEight	Toaplan	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightht	FixEight (Hong Kong, Taito license)	FixEight	Toaplan (Taito license)	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightj	FixEight (Japan)	FixEight	Toaplan	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightjt	FixEight (Japan, Taito license)	FixEight	Toaplan (Taito license)	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightk	FixEight (Korea)	FixEight	Toaplan	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
fixeightkt	FixEight (Korea, Taito license)	FixEight	Toaplan (Taito license)	1992	Shooter / Walking	UNKNOWN	fixeight	fixeight	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN		UNKNOWN	59.637405	V	3	4	320	240	R
